step,event,thought,emotion
1,we played warm at skittles -- there were 2 teams. unknown business people. I wanted to play in the left lane (with windows) but not yet in team,,~socially anxious
2,the leader of the event was [irl: reminiscent of [EX_GIRLFRIEND]; idl: unkown] -- also somewhat known character: [irl: reminiscent of Omar from Netflix show Better Call Saul; idl: unkown],,
3,imagining how I through the ball with high energy so that something breaks,I will do this. If they complain -- I say that I just threw the ball really hard, just as the others,nervous; stubborn++
